Provincia,Partido ,Localidad,ADSL,CABLEMODEM,DIALUP,FIBRAOPTICA,4G,3G,TELEFONIAFIJA,WIRELESS,SATELITAL,conectividad
CORDOBA,,La Rinconada,0,0,0,0,1,0,0,0,0,SI
CORDOBA,Río Seco,Los Hoyos,0,0,0,0,0,0,0,0,0,NO
CORDOBA,,Santa Elena,0,0,0,0,1,0,0,0,0,SI
CORDOBA,San Justo,Colonia Anita,0,0,0,0,0,0,0,0,0,NO
CORDOBA,,Colonia Prosperidad,0,0,0,0,1,0,0,0,0,SI
CORDOBA,San Justo,Colonia San Pedro,0,0,0,0,0,0,0,0,0,NO
CORDOBA,San Justo,Colonia Valtelina,0,0,0,0,0,0,0,0,0,NO
CORDOBA,,Parque Calmayo,0,0,0,0,0,0,0,0,0,NO
CORDOBA,,San Ignacio (Loteo San Javier),0,0,0,0,0,0,0,1,0,SI
CORDOBA,Calamuchita,Santa Monica,0,0,0,0,0,0,0,0,0,NO
CORDOBA,,Solar de los Molinos,0,0,0,0,0,0,0,0,0,NO
CORDOBA,,Villa Alpina,0,0,0,0,0,0,0,1,0,SI
CORDOBA,,Villa Ciudad Parque Los Reartes (3a. Sección),0,0,0,0,0,0,0,1,0,SI
CORDOBA,San Justo,El Fuertecito,0,0,0,0,0,0,1,1,0,SI
CORDOBA,,La Francia,1,0,0,1,1,1,0,1,0,SI
JUJUY,Ledesma,Maíz Negro,0,0,0,0,0,0,0,0,0,NO
JUJUY,Ledesma,Yuto,0,0,0,0,0,1,0,1,0,SI
JUJUY,,Carahunco,1,0,0,0,0,0,0,0,1,SI
JUJUY,Palpalá,Rio Blanco,0,0,0,0,0,0,0,0,0,NO
JUJUY,,Lagunillas de Farallón,0,0,0,1,0,0,0,0,0,SI
JUJUY,Rinconada,Orosmayo,0,0,0,1,0,0,0,0,0,SI
JUJUY,El Carmen,Puesto Viejo,0,0,0,0,0,1,1,0,1,SI
JUJUY,,San Isidro,0,0,0,0,0,0,0,0,0,NO
JUJUY,Humahuaca,Coctaca,0,0,0,0,0,0,0,0,0,NO
JUJUY,,Hipólito Yrigoyen (Est. Iturbe),0,0,0,1,0,0,0,0,0,SI
JUJUY,Humahuaca,Rodero,0,0,0,0,0,0,0,0,0,NO
JUJUY,Ledesma,Bananal,0,0,0,0,0,0,0,0,0,NO
JUJUY,,Bermejito,0,0,0,0,0,0,0,0,0,NO
CORRIENTES,Capital,Riachuelo,0,0,0,0,0,1,1,0,1,SI
CORRIENTES,,Tabay,0,0,0,0,1,0,0,0,1,SI
CORRIENTES,Curuzú Cuatiá,Curuzú Cuatiá,0,0,0,1,0,1,1,0,1,SI
CORRIENTES,,Empedrado,1,1,0,0,1,1,0,1,0,SI
CORDOBA,,Monte Buey,1,0,0,0,1,1,0,0,0,SI
CORDOBA,,Ciénaga del Coro,0,0,0,1,1,0,0,0,0,SI
CORDOBA,Minas,Estancia de Guadalupe,0,0,0,0,0,0,1,1,0,SI
CORDOBA,,Talaini,0,0,0,0,0,0,0,1,0,SI
CORDOBA,,Las Palmas,0,0,0,0,0,0,0,1,0,SI
CORRIENTES,Esquina,Esquina,0,0,0,1,0,1,1,1,1,SI
CORRIENTES,,Itá Ibaté,1,1,0,0,1,1,0,1,0,SI
CORRIENTES,General Paz,Nuestra Señora del Rosario de Caá Catí,0,1,0,0,0,0,1,0,0,SI
CORRIENTES,,Colonia Carolina,0,0,0,0,1,1,0,1,0,SI
CORRIENTES,Goya,Goya,0,1,0,1,0,1,1,0,1,SI
CORDOBA,,La Cesira,1,0,0,1,1,1,0,0,1,SI
CORDOBA,Presidente Roque Sáenz Peña,Rosales,0,0,0,0,0,1,1,0,0,SI
CORDOBA,,Barrio Santa Isabel,0,0,0,0,0,0,0,0,0,NO
CORDOBA,Punilla,Bialet Massé,0,0,0,1,0,1,1,1,0,SI
CORDOBA,,Lucio V. Mansilla,0,0,0,0,1,1,0,0,0,SI
CORDOBA,Tulumba,San José de la Dormida,0,0,0,0,0,1,1,1,0,SI
CORDOBA,,Aldea Santa María,0,0,0,0,0,0,0,0,0,NO
CORDOBA,Unión,Ballesteros,0,0,0,1,0,0,1,0,0,SI
CORDOBA,,Bell Ville,1,1,0,1,1,1,0,0,0,SI
CORRIENTES,,Colonia Liebig's,0,1,0,0,1,1,0,0,1,SI
CORRIENTES,Ituzaingó,Ituzaingó,0,0,0,0,0,0,1,0,1,SI
CORRIENTES,Ituzaingó,Villa Olivari,0,0,0,0,0,1,0,1,1,SI
CORRIENTES,Lavalle,Lavalle,0,0,0,0,0,1,1,0,1,SI
CORRIENTES,,Villa Córdoba,0,0,0,0,0,0,0,0,0,NO
CORRIENTES,Mercedes,Mariano I. Loza (Est. Justino Solari),0,0,0,0,0,0,1,1,0,SI
CORRIENTES,Monte Caseros,Mocoretá,0,0,0,1,0,1,1,1,0,SI
CORRIENTES,,Bonpland,0,0,0,0,1,0,0,1,0,SI
ENTRE RIOS,Federación,San Pedro,0,0,0,1,0,0,0,1,0,SI
ENTRE RIOS,,Santa Ana,0,1,0,1,1,1,0,0,0,SI
ENTRE RIOS,Federal,Conscripto Bernardi,0,0,0,0,0,0,1,1,0,SI
ENTRE RIOS,,El Cimarrón,0,0,0,0,0,0,0,1,0,SI
ENTRE RIOS,Feliciano,San José de Feliciano,0,0,0,0,0,1,1,0,1,SI
ENTRE RIOS,,Aldea Asunción,0,0,0,0,0,0,0,0,0,NO
ENTRE RIOS,,Villa Paranacito,0,1,0,0,1,1,0,0,0,SI
ENTRE RIOS,La Paz,La Paz,0,1,0,1,0,1,1,1,0,SI
ENTRE RIOS,La Paz,San Gustavo,0,0,0,1,0,1,1,0,0,SI
ENTRE RIOS,,Sir Leonard,0,0,0,0,0,0,0,0,0,NO
ENTRE RIOS,Nogoyá,Febré,0,0,0,0,0,0,0,1,0,SI
CORDOBA,,Villa El Tala,0,0,0,0,0,0,0,0,0,NO
CORDOBA,Calamuchita,Villa La Rivera,0,0,0,0,0,0,0,0,0,NO
CABA,,CHACARITA,1,1,0,1,1,1,0,1,0,SI
CORDOBA,,Calchín Oeste,0,0,0,0,1,1,0,0,0,SI
CORDOBA,Río Segundo,Capilla del Carmen,0,1,0,0,0,0,1,1,0,SI
CORDOBA,,Colonia Bremen,0,0,0,0,0,0,0,0,0,NO
CORDOBA,Capital,Jardín Arenales,0,0,0,0,0,1,0,0,0,SI
CORDOBA,,Agua de Oro,1,0,0,1,1,1,0,0,0,SI
